tensor(22.3429, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9076, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8692, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2927, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0309, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8009, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0978, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0076, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0222, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0703, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.1702, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0188, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.4224, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5012, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7811, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.3211, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3712, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6962, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8676, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7637, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9953, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3263, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2427, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5618, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9298, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8172, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.6809, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3290, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0425, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8388, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3028, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4409, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.2065, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9971, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7483, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5944, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.6593, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3183, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0901, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6056, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3585, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5853, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4020, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0543, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1502, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9644, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4185, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.0076, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0830, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1468, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3598, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8966, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1092, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5012, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5782, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4298, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9809, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0398, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8091, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4891, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7117, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4852, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8050, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4419, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1616, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.3244, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1532, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5547, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2814, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.1233, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1842, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3859, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2722, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.5974, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6492, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3989, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7865, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9702, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4447, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4716, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0108, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2408, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3540, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1810, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7460, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.6428, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2076, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3613, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3494, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4884, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8600, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4631, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.3842, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.2468, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1916, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5618, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5612, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1496, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.4532, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4165, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6489, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2918, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.4218, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9681, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4224, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.5657, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9817, device='cuda:0', grad_fn=<NegBackward0>)
