tensor(22.9124, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.4256, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2745, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2909, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.5134, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.2241, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4243, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8603, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8151, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9597, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1426, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0116, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7675, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4168, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8017, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0248, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.4507, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.6790, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.1480, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3763, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.6770, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8356, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.5213, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3089, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1940, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3580, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9211, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0202, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7742, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.6693, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9584, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.6411, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7222, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.5698, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.7739, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2370, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9092, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7088, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1095, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1019, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.7399, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4488, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7386, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8111, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2955, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7323, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2809, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.7045, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3262, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.6000, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0864, device='cuda:0', grad_fn=<NegBackward>)
tensor(21.7887, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.0721, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.4882, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.2372, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.4305, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0685, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9315, device='cuda:0', grad_fn=<NegBackward>)
tensor(21.8435, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4194, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0016, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.2763, device='cuda:0', grad_fn=<NegBackward>)
tensor(24.0545, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.6077, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.5375, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.8834, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.3154, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.9638, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.4580, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3882, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3689, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.6540, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3453, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7126, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0668, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2684, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1390, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9974, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2388, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.3990, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.4976, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9975, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.7992, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1893, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.5522, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.7820, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.5746, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.5516, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.5511, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0586, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.4386, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8184, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1441, device='cuda:0', grad_fn=<NegBackward>)
